"libellé métier";"lien site onisep.fr";"nom publication";collection;année;gencod;GFE;"code ROME";"libellé ROME";"lien ROME";domaine/sous-domaine
"technicien / technicienne paysagiste";http://www.onisep.fr/http/redirection/metier/slug/MET.197;"Les métiers du paysage";"Zoom sur les métiers";2018;9782273014397;"A : Agriculture";A1203;"Aménagement et entretien des espaces verts";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=A1203;"environnement - énergies - propreté/aménagement paysager"
"chargé / chargée d'études ressources humaines";http://www.onisep.fr/http/redirection/metier/slug/MET.898;"Les métiers de la comptabilité et de la gestion";Parcours;2017;9782273013246;"Q : Commerce, gestion, finances";;;;"gestion des entreprises, comptabilité/administration de l'entreprise ; économie - droit - politique/droit (généralités) ; gestion des entreprises, comptabilité/ressources humaines"
"metteur / metteuse en scène";http://www.onisep.fr/http/redirection/metier/slug/MET.86;"Les études d'art";Dossiers;2018;9782273014052;"V : Arts, spectacle, audiovisuel";L1301;"Mise en scène de spectacles vivants";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=L1301;"arts, culture, artisanat/arts du spectacle"
"sommelier / sommelière";http://www.onisep.fr/http/redirection/metier/slug/MET.4;"Les métiers de l'hôtellerie et de la restauration";Parcours;2018;9782273013895;;G1804;Sommellerie;https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=G1804;"hôtellerie - restauration - tourisme/restauration"
"directeur / directrice artistique";http://www.onisep.fr/http/redirection/metier/slug/MET.537;"Les métiers de l'information et de la communication";Parcours;2018;9782273013901;"U : Communication, médias";E1104;"Conception de contenus multimédias";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=E1104;"arts, culture, artisanat/arts graphiques ; information-communication, audiovisuel/journalisme - édition - publicité"
"optronicien / optronicienne";http://www.onisep.fr/http/redirection/metier/slug/MET.809;"Les métiers de l'électronique et de la robotique";Parcours;2015;9782273012317;"H : Electricité, énergie, électronique";;;;"électricité - électronique - robotique/électronique"
"maroquinier / maroquinière";http://www.onisep.fr/http/redirection/metier/slug/MET.566;"Les métiers de la mode et du luxe";Parcours;2019;9782273014564;"L : Textile, habillement, cuir";B1802;"Réalisation d'articles en cuir et matériaux souples (hors vêtement)";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=B1802;"matières premières, fabrication, industries/textile - habillement"
"opérateur / opératrice en traitement des matériaux";http://www.onisep.fr/http/redirection/metier/slug/MET.841;"Les métiers de l'automobile";Parcours;2020;9782273015172;"E : Travail des métaux";H3402;"Conduite de traitement par dépôt de surface";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H3402;"matières premières, fabrication, industries/métallurgie sidérurgie ; sciences/physique ; mécanique/travail des métaux"
"animateur / animatrice du patrimoine";http://www.onisep.fr/http/redirection/metier/slug/MET.445;"Les métiers du tourisme";Parcours;2019;9782273014526;"S : Hôtellerie, tourisme, loisirs";G1102;"Promotion du tourisme local";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=G1102;"arts, culture, artisanat/activités culturelles ; hôtellerie - restauration - tourisme/tourisme"
"directeur / directrice d'hôtel";http://www.onisep.fr/http/redirection/metier/slug/MET.2;"Les métiers de l'hôtellerie et de la restauration";Parcours;2018;9782273013895;"Q : Commerce, gestion, finances";G1402;"Management d'hôtel-restaurant";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=G1402;"gestion des entreprises, comptabilité/administration de l'entreprise ; hôtellerie - restauration - tourisme/hôtellerie ; hôtellerie - restauration - tourisme/tourisme"
